User id,n° Followers,Scree_name,Name,Url,Profile,OL,S
813286,119616675,BarackObama,Barack Obama,https://t.co/93Y27HEnnX,https://twitter.com/BarackObama,1.0,0.0
25073877,81994886,realDonaldTrump,Donald J. Trump,https://t.co/OMxB0x7xC5,https://twitter.com/realDonaldTrump,1.0,0.0
428333,58099143,cnnbrk,CNN Breaking News,http://t.co/HjKR4r61U5,https://twitter.com/cnnbrk,0.0,1.0
759251,48553096,CNN,CNN,http://t.co/IaghNW8Xm2,https://twitter.com/CNN,0.0,1.0
807095,46804189,nytimes,The New York Times,http://t.co/ahvuWqicF9,https://twitter.com/nytimes,0.0,1.0
742143,28277484,BBCWorld,BBC News (World),https://t.co/7NEgoMwJy3,https://twitter.com/BBCWorld,0.0,1.0
1339835893,28127948,HillaryClinton,Hillary Clinton,https://t.co/99DVW9q1yt,https://twitter.com/HillaryClinton,1.0,0.0
5988062,24844623,TheEconomist,The Economist,https://t.co/pN0OAmG4SP,https://twitter.com/TheEconomist,0.0,1.0
822215673812119553,23162133,WhiteHouse,The White House,https://t.co/wyOVgSLgBV,https://twitter.com/WhiteHouse,0.0,0.0
1652541,22030613,Reuters,Reuters,http://t.co/BmHxhkm3Mh,https://twitter.com/Reuters,0.0,1.0
1367531,19332388,FoxNews,Fox News,http://t.co/ZYG58XZtAC,https://twitter.com/FoxNews,0.0,1.0
3108351,17836200,WSJ,The Wall Street Journal,https://t.co/GhhR6PLfem,https://twitter.com/WSJ,0.0,1.0
91478624,16064090,Forbes,Forbes,http://t.co/KH6EtekF5q,https://twitter.com/Forbes,0.0,1.0
2467791,15931110,washingtonpost,The Washington Post,http://t.co/Hq7hTYkOPg,https://twitter.com/washingtonpost,0.0,1.0
28785486,15704094,ABC,ABC News,https://t.co/B4vihbwCGa,https://twitter.com/ABC,0.0,1.0
51241574,14295537,AP,The Associated Press,https://t.co/48pFaJVRcr,https://twitter.com/AP,0.0,1.0
18948541,14078365,SethMacFarlane,Seth MacFarlane,https://t.co/o4miqWj5Zm,https://twitter.com/SethMacFarlane,0.0,0.0
14511951,11473895,HuffPost,HuffPost,https://t.co/DLXRSufyhx,https://twitter.com/HuffPost,0.0,1.0
2097571,10848588,cnni,CNN International,http://t.co/kdkv08KSgi,https://twitter.com/cnni,0.0,1.0
216776631,10251367,BernieSanders,Bernie Sanders,https://t.co/jpg8Sp1GhR,https://twitter.com/BernieSanders,1.0,0.0
16129920,10122646,maddow,Rachel Maddow MSNBC,http://t.co/KtNvfeNDMl,https://twitter.com/maddow,1.0,0.0
6017542,9564579,BreakingNews,Breaking News,https://t.co/yjD4mOeepa,https://twitter.com/BreakingNews,0.0,1.0
29442313,9016607,SenSanders,Bernie Sanders,http://t.co/8AS4FI1oge,https://twitter.com/SenSanders,1.0,0.0
52544275,8976359,IvankaTrump,Ivanka Trump,,https://twitter.com/IvankaTrump,0.0,0.0
87818409,8917427,guardian,The Guardian,https://t.co/c53pnmnuIT,https://twitter.com/guardian,0.0,1.0
14677919,8910854,NewYorker,The New Yorker,https://t.co/RLTwD4X3RQ,https://twitter.com/NewYorker,0.0,1.0
5392522,8226136,NPR,NPR,http://t.co/SoL86ga4RI,https://twitter.com/NPR,0.0,1.0
14173315,7649627,NBCNews,NBC News,https://t.co/Z73is4fJ3x,https://twitter.com/NBCNews,0.0,1.0
15012486,7630282,CBSNews,CBS News,https://t.co/VGut7r2Vg5,https://twitter.com/CBSNews,0.0,1.0
4898091,6628369,FinancialTimes,Financial Times,http://t.co/177fJYDjdc,https://twitter.com/FinancialTimes,0.0,1.0
373157754,6535297,YourAnonCentral,Anonymous,,https://twitter.com/YourAnonCentral,0.0,0.0
34713362,6452487,business,Bloomberg,http://t.co/YFISwy1upH,https://twitter.com/business,0.0,1.0
14780915,6299330,RollingStone,Rolling Stone,http://t.co/zhpWt9kvuA,https://twitter.com/RollingStone,0.0,1.0
7587032,6177714,SkyNews,SkyNews,https://t.co/SnOv0usOtw,https://twitter.com/SkyNews,0.0,1.0
970207298,6157925,SenWarren,Elizabeth Warren,http://t.co/wsbNrrUt,https://twitter.com/SenWarren,1.0,0.0
939091,6142647,JoeBiden,Joe Biden,https://t.co/UClrPuJpyZ,https://twitter.com/JoeBiden,1.0,0.0
39344374,5164374,DonaldJTrumpJr,Donald Trump Jr.,https://t.co/9tWpGmVd3z,https://twitter.com/DonaldJTrumpJr,0.0,0.0
15764644,4962434,SpeakerPelosi,Nancy Pelosi,https://t.co/jztVqrP3x5,https://twitter.com/SpeakerPelosi,1.0,0.0
818927131883356161,4903589,PressSec,Kayleigh McEnany,https://t.co/wyOVgSLgBV,https://twitter.com/PressSec,1.0,0.0
15279429,4870594,VanityFair,VANITY FAIR,http://t.co/THwtnNR9Wy,https://twitter.com/VanityFair,0.0,1.0
22203756,4842404,Mike_Pence,Mike Pence,https://t.co/mZB2hymxC9,https://twitter.com/Mike_Pence,1.0,0.0
17006157,4619032,paulkrugman,Paul Krugman,https://t.co/eyXDbYebpR,https://twitter.com/paulkrugman,1.0,0.0
15808765,4519463,CoryBooker,Cory Booker,https://t.co/4F50lUTrMs,https://twitter.com/CoryBooker,1.0,0.0
357606935,4295790,ewarren,Elizabeth Warren,https://t.co/6eyJ7rAXpg,https://twitter.com/ewarren,1.0,0.0
9300262,4200091,politico,POLITICO,https://t.co/PPMyQsPlIg,https://twitter.com/politico,0.0,1.0
15754281,4098871,USATODAY,USA TODAY,http://t.co/7xDl0vVHSt,https://twitter.com/USATODAY,0.0,1.0
