url,type,verified_type,verified,username,name,id,Profile_Url,OuletPgae,full_url
businessinsider.com,center,business,1,thisisinsider,Insider,3226282347,https://twitter.com/thisisinsider,1,https://www.businessinsider.com/
newsweek.com,center,business,0,Newsweek,Newsweek,2884771,https://twitter.com/Newsweek,1,https://www.newsweek.com/
reuters.com,center,business,1,Reuters,Reuters,1652541,https://twitter.com/Reuters,1,https://www.reuters.com/
bbc.com,center,business,1,BBC,BBC,19701628,https://twitter.com/BBC,1,https://www.bbc.com/
economist.com,center,,1,TheEconomist,The Economist,5988062,https://twitter.com/TheEconomist,1,https://www.economist.com/
fivethirtyeight.com,center,business,1,FiveThirtyEight,FiveThirtyEight,2303751216,https://twitter.com/FiveThirtyEight,1,https://fivethirtyeight.com/
ft.com,center,business,1,FT,Financial Times,18949452,https://twitter.com/FT,1,https://www.ft.com
foreignpolicy.com,center,none,1,ForeignPolicy,Foreign Policy,26792275,https://twitter.com/ForeignPolicy,1,https://foreignpolicy.com/
factcheck.org,center,none,1,factcheckdotorg,FactCheck.org,21344507,https://twitter.com/factcheckdotorg,1,https://www.factcheck.org/
news.sky.com,center,business,1,SkyNews,Sky News,7587032,https://twitter.com/SkyNews,1,news.sky.com
nytimes.com,left leaning,,1,nytimes,The New York Times,807095,https://twitter.com/nytimes,1,https://www.nytimes.com/
washingtonpost.com,left leaning,business,1,washingtonpost,The Washington Post,2467791,https://twitter.com/washingtonpost,1,https://www.washingtonpost.com/
cnn.com,left leaning,business,1,CNN,CNN,759251,https://twitter.com/CNN,1,https://www.cnn.com/
politico.com,left leaning,,1,politico,POLITICO,9300262,https://twitter.com/politico,1,https://www.politico.com/
nbcnews.com,left leaning,business,1,NBCNews,NBC News,14173315,https://twitter.com/NBCNews,1,https://www.nbcnews.com/
theguardian.com,left leaning,business,1,guardian,The Guardian,87818409,https://twitter.com/guardian,1,https://www.theguardian.com/us
theatlantic.com,left leaning,business,1,TheAtlantic,The Atlantic,35773039,https://twitter.com/TheAtlantic,1,https://www.theatlantic.com/
abcnews.go.com,left leaning,business,1,ABC,ABC News,28785486,https://twitter.com/ABC,1,https://abcnews.go.com/
npr.org,left leaning,business,1,NPR,NPR,5392522,https://twitter.com/NPR,1,https://www.npr.org/
bloomberg.com,left leaning,business,1,business,Bloomberg,34713362,https://twitter.com/business,1,https://www.bloomberg.com/
cbsnews.com,left leaning,business,1,CBSNews,CBS News,15012486,https://twitter.com/CBSNews,1,https://www.cbsnews.com/
cnbc.com,left leaning,business,1,CNBC,CNBC,20402945,https://twitter.com/CNBC,1,https://www.cnbc.com/
axios.com,left leaning,business,1,axios,Axios,800707492346924928,https://twitter.com/axios,1,https://www.axios.com/
msn.com,left leaning,,1,MSN,MSN,15856435,https://twitter.com/MSN,1,https://www.msn.com/
news.yahoo.com,left leaning,business,1,YahooNews,Yahoo News,7309052,https://twitter.com/YahooNews,1,https://www.yahoo.com/news/
independent.co.uk,left leaning,business,1,Independent,The Independent,16973333,https://twitter.com/Independent,1,https://www.independent.co.uk/us
latimes.com,left leaning,business,1,latimes,Los Angeles Times,16664681,https://twitter.com/latimes,1,https://www.latimes.com/
citizensforethics.org,left leaning,,1,CREWcrew,Citizens for Ethics,22187085,https://twitter.com/crewcrew,1,http://www.citizensforethics.org/
buzzfeednews.com,left leaning,business,0,BuzzFeed,BuzzFeed,5695632,https://twitter.com/BuzzFeed,1,https://www.buzzfeednews.com/
rawstory.com,left,,1,RawStory,Raw Story,16041234,https://twitter.com/RawStory,1,https://www.rawstory.com/
msnbc.com,left,business,1,MSNBC,MSNBC,2836421,https://twitter.com/MSNBC,1,https://www.msnbc.com/
